# T        <|M|>         <E>           chi            C
  2.5736     0.16635556    -1.04680889    17.69333639     2.40204239
  2.5766     0.16804148    -1.04649333    18.07025274     2.53576340
  2.5796     0.17801333    -1.04484593    18.89265700     2.35316728
  2.5827     0.18063333    -1.04121037    19.26613116     2.61218908
  2.5857     0.17107407    -1.03782222    18.02326975     2.51551817
  2.5887     0.14602074    -1.03085037    12.25328340     2.32997895
  2.5917     0.17656815    -1.03686963    18.54497373     2.60194271
  2.5947     0.14963333    -1.03920444    19.94941401     2.75163285
  2.5977     0.14074667    -1.03042815    14.49274486     2.21967307
  2.6008     0.14783852    -1.01811259    12.35828338     2.28516972
  2.6038     0.16686222    -1.03071852    17.93773682     2.41747342
  2.6068     0.15715852    -1.01678519    12.74941921     2.13999837
  2.6098     0.16791407    -1.02228148    15.75372635     2.44570583
  2.6128     0.19147407    -1.01930667    17.56351349     2.43025113
  2.6158     0.15736889    -1.01412741    12.89603368     2.30158508
  2.6188     0.16162370    -1.01155704    14.07549525     2.22905934
  2.6219     0.15520296    -1.01154667    12.29980123     2.21329244
  2.6249     0.14801407    -1.01066963    15.02663162     2.54384925
  2.6279     0.16449556    -1.01158074    15.59016279     2.13806112
  2.6309     0.16514444    -1.01346963    13.94664917     2.32516502
  2.6339     0.13920444    -1.00536593    14.20226462     2.27266065
  2.6369     0.16298667    -0.99748148    15.88558214     2.46934676
  2.6399     0.13726074    -0.99728296    10.47713539     1.96833846
  2.6430     0.14725259    -1.00670519    14.47091132     2.20567830
  2.6460     0.14646741    -0.99544593    15.29943503     2.31516285
  2.6490     0.13695185    -0.99642667    11.96733154     2.03726732
  2.6520     0.14367926    -0.99241333    12.73578844     2.07518106
  2.6550     0.14326741    -0.99316593    13.23672443     2.14129510
  2.6580     0.13905259    -0.98670963    11.92349437     2.08178829
  2.6611     0.14933630    -0.98960593    12.12329454     2.12767297
  2.6641     0.14933556    -0.99053185    15.58437197     2.19765270
  2.6671     0.13560074    -0.98315556    10.07304149     2.07543908
  2.6701     0.13439926    -0.98336889    11.71988317     2.05819553
  2.6731     0.13561037    -0.98024000    12.36821738     2.21808834
  2.6761     0.13335259    -0.98073481    10.79451077     1.96578183
  2.6791     0.12557630    -0.97042074     8.99468547     1.98545193
  2.6822     0.12885556    -0.97586667     9.78500408     2.05542517
  2.6852     0.14515704    -0.97779407    11.79877804     1.92949323
  2.6882     0.13165259    -0.96566519    10.41554128     2.00950324
  2.6912     0.12915778    -0.97087704     9.32460438     2.09056135
  2.6942     0.14854000    -0.97625778    13.84447579     2.05169306
  2.6972     0.12530370    -0.96201185     8.96759491     2.02752083
  2.7003     0.13318222    -0.96402963    10.02070071     1.91465082
  2.7033     0.14221111    -0.96134815    10.54408426     2.00072756
  2.7063     0.12773481    -0.95570519    10.13601644     2.10971440
  2.7093     0.12479630    -0.95490222    10.86038622     2.00234125
  2.7123     0.11622444    -0.95544889     8.18568940     1.99738732
  2.7153     0.12933556    -0.95457185     9.86038106     1.86628296
  2.7183     0.13266519    -0.95788593     9.49547412     1.93473319
  2.7214     0.12987778    -0.94761481     9.83227129     1.92876018
  2.7244     0.13743333    -0.94846963    11.02700769     1.85137193
  2.7274     0.12090963    -0.95136296     8.47862551     1.95495642
  2.7304     0.14070667    -0.94725926    11.30373813     1.88713624
  2.7334     0.12160889    -0.93779407     9.14639088     1.79036055
  2.7364     0.13533704    -0.94249333    10.43983118     1.86500914
  2.7394     0.12193556    -0.94137333     9.65849433     2.02978713
  2.7425     0.12169556    -0.93377778     8.34263773     1.88734017
  2.7455     0.12971185    -0.94426963     9.23260599     1.87386301
  2.7485     0.11395111    -0.93514222     7.63222549     1.74947476
  2.7515     0.11696444    -0.92772000     8.21244234     1.81954045
  2.7545     0.11504963    -0.93162667     8.07496314     1.82223705
  2.7575     0.11884667    -0.92581333     8.02232908     1.85742486
  2.7606     0.12395111    -0.93046519     8.93040265     1.92078858
  2.7636     0.12846370    -0.92978519     9.43953570     1.75877279
  2.7666     0.10208444    -0.92353333     5.81533371     1.76082215
  2.7696     0.11913259    -0.92486815     7.48089136     1.92565629
  2.7726     0.12186815    -0.92413333     9.67383668     1.85799325
  2.7756     0.10428889    -0.92437185     6.49997181     1.77802709
  2.7786     0.11221037    -0.92317630     7.21537825     1.81988288
  2.7817     0.10704222    -0.91644593     6.94878439     1.62685994
  2.7847     0.12818889    -0.91705926     8.83580384     1.68682187
  2.7877     0.10660963    -0.91506667     6.50376880     1.66047935
  2.7907     0.10486593    -0.91418222     7.42383901     1.71166827
  2.7937     0.11465481    -0.91146370     7.95181079     1.80839495
  2.7967     0.10337704    -0.90621778     7.01903362     1.69862571
  2.7997     0.13118667    -0.91054074     9.35101746     1.77812388
  2.8028     0.10916148    -0.90963852     6.51651528     1.72934779
  2.8058     0.11721185    -0.90412889     7.98420060     1.58142441
  2.8088     0.10658593    -0.89669333     6.06122069     1.51570269
  2.8118     0.11700370    -0.90454667     7.31624965     1.76173568
  2.8148     0.10885185    -0.90188593     6.57990972     1.68356938
  2.8178     0.10977259    -0.89614519     6.87122963     1.64519683
  2.8209     0.11526889    -0.89882370     7.81319441     1.73852969
  2.8239     0.10729778    -0.89782815     6.64965033     1.73842647
  2.8269     0.11019704    -0.89807704     6.40954649     1.66019129
  2.8299     0.11622074    -0.88664741     8.04700533     1.71798383
  2.8329     0.10407704    -0.89174074     6.03731596     1.51145800
  2.8359     0.10839852    -0.89121037     7.18993579     1.66589751
  2.8389     0.10624963    -0.88760889     6.92621153     1.57481751
  2.8420     0.10757111    -0.88731704     6.91953559     1.62250328
  2.8450     0.10897704    -0.89076000     6.26357973     1.61381609
  2.8480     0.10760593    -0.88565630     6.77185328     1.58960521
  2.8510     0.10197333    -0.88026519     6.44434843     1.57809458
  2.8540     0.10603333    -0.88672741     6.56749180     1.66343963
  2.8570     0.10132148    -0.87861630     6.30432093     1.57939194
  2.8601     0.10746815    -0.88076148     6.24269879     1.59917828
  2.8631     0.10837630    -0.87849481     7.51571983     1.66149467
  2.8661     0.08897481    -0.87787111     4.88218659     1.50542258
  2.8691     0.09980667    -0.87418222     6.32524700     1.52847265
  2.8721     0.10006593    -0.87213926     5.82092603     1.55385883
  2.8751     0.10410370    -0.87618074     6.53391367     1.54326592
  2.8781     0.10504074    -0.86736741     6.26629162     1.53381268
  2.8812     0.10339259    -0.86787556     6.42138096     1.57724441
  2.8842     0.09805556    -0.86832148     5.64522776     1.57088671
  2.8872     0.11006444    -0.86585630     6.47402959     1.54842621
  2.8902     0.09485185    -0.86188889     5.36774320     1.49956398
  2.8932     0.09972963    -0.86197630     5.90167415     1.53420156
  2.8962     0.10473852    -0.85583407     5.95389697     1.44588325
  2.8992     0.09210963    -0.85946963     5.19426022     1.65848761
  2.9023     0.09330148    -0.85837037     4.87386131     1.51609530
  2.9053     0.09867630    -0.85827704     5.44595207     1.51929074
  2.9083     0.10906000    -0.86218667     6.59568377     1.46445375
  2.9113     0.09771185    -0.85278222     4.87207577     1.43874765
  2.9143     0.09820222    -0.84838519     5.80482310     1.53599262
  2.9173     0.09749259    -0.85352000     5.05238803     1.43480460
  2.9204     0.09464593    -0.84733185     5.28085542     1.44137079
  2.9234     0.10249037    -0.85176000     5.79303140     1.54198104
  2.9264     0.09803111    -0.85046667     5.07003885     1.34872131
  2.9294     0.08605111    -0.84751259     4.31601059     1.49380347
  2.9324     0.09493407    -0.84572444     5.23321239     1.43186547
  2.9354     0.09746593    -0.84763259     5.19817096     1.53271721
  2.9384     0.10907704    -0.84782667     6.36490189     1.47614529
  2.9415     0.09155630    -0.83926370     4.33969817     1.44156571
  2.9445     0.09726889    -0.83815111     5.08299012     1.42131692
  2.9475     0.09352222    -0.83535111     5.70638148     1.43039424
  2.9505     0.09264593    -0.83523111     4.91634813     1.31206514
  2.9535     0.09802222    -0.83710815     5.32485619     1.43382447
  2.9565     0.09386370    -0.83381630     4.85479875     1.33256004
  2.9595     0.09698074    -0.83132593     5.20327613     1.35393851
  2.9626     0.09966519    -0.83203852     5.47876514     1.38747454
  2.9656     0.08987259    -0.83233333     5.10040667     1.34752607
  2.9686     0.09394593    -0.83210667     5.04933309     1.33865851
  2.9716     0.09442519    -0.82934074     5.23877515     1.43462372
  2.9746     0.10050963    -0.82546963     5.14105861     1.48587365
  2.9776     0.09331556    -0.82801185     4.53825196     1.34205032
  2.9807     0.09344074    -0.82300148     4.87253860     1.27027922
  2.9837     0.08521333    -0.82103259     4.23471988     1.29457570
  2.9867     0.09271111    -0.82245333     4.94711149     1.37351548
  2.9897     0.09923481    -0.82337333     5.20421641     1.30238775
  2.9927     0.08681333    -0.81911111     3.96049455     1.32409559
  2.9957     0.09163333    -0.81887704     4.44465216     1.34401860
  2.9987     0.09269333    -0.82106815     4.51042515     1.26479259
  3.0018     0.08377926    -0.81173037     4.03222688     1.34525838
  3.0048     0.09402148    -0.82243111     4.85043261     1.35825760
  3.0078     0.09153481    -0.81332593     4.74133154     1.32140313
  3.0108     0.08810815    -0.81245333     4.17890374     1.29905128
  3.0138     0.08645704    -0.80793481     4.07977495     1.27056438
  3.0168     0.08956593    -0.81092889     4.29546840     1.27476766
  3.0198     0.10020593    -0.81305481     5.43661194     1.34377664
  3.0229     0.08738074    -0.80614222     4.31139063     1.28835134
  3.0259     0.08684370    -0.80717926     4.40255953     1.26756162
  3.0289     0.08684519    -0.80664148     4.25940062     1.28558645
  3.0319     0.08542222    -0.80593778     4.28146446     1.26146958
  3.0349     0.08747778    -0.80305778     4.29136885     1.30445859
  3.0379     0.09240667    -0.79970815     4.42134879     1.29444573
  3.0410     0.09188963    -0.80093185     4.59879356     1.24888184
  3.0440     0.09500741    -0.80079852     4.57027644     1.22893713
  3.0470     0.08565407    -0.79751852     3.74617538     1.28505153
  3.0500     0.08521704    -0.79880444     3.56778410     1.18235140
