# T        <|M|>         <E>           chi            C
  1.8575     0.94772741    -1.83272741     0.46643700     1.63662353
  1.8606     0.94580444    -1.82965926     0.52997101     1.74943444
  1.8636     0.94618148    -1.83011556     0.59546702     1.86917691
  1.8666     0.94600667    -1.82963111     0.51868915     1.66735104
  1.8696     0.94427259    -1.82507111     0.56774253     1.78150589
  1.8726     0.94486889    -1.82560593     0.50766772     1.68012052
  1.8756     0.94170370    -1.81917037     0.58999122     1.77928693
  1.8786     0.94359778    -1.82187704     0.51719774     1.70902354
  1.8817     0.94278815    -1.82099259     0.58368674     1.81570023
  1.8847     0.94222000    -1.81889333     0.53882742     1.68528260
  1.8877     0.94072000    -1.81540741     0.58708645     1.86487352
  1.8907     0.94002148    -1.81416148     0.68808800     1.97528642
  1.8937     0.93917556    -1.81067259     0.61519743     1.94767773
  1.8967     0.93952815    -1.81251407     0.61258305     1.82169045
  1.8997     0.93808296    -1.80911259     0.63116424     1.89880662
  1.9028     0.93919185    -1.81098074     0.65195339     1.80121362
  1.9058     0.93813852    -1.80804148     0.62574697     1.90562001
  1.9088     0.93742519    -1.80623259     0.62403530     1.93605146
  1.9118     0.93503259    -1.80199259     0.80885758     2.04458564
  1.9148     0.93493630    -1.80022074     0.72841207     2.00437048
  1.9178     0.93472963    -1.80028741     0.69566619     1.95408453
  1.9209     0.93313556    -1.79720296     0.77949955     2.00130719
  1.9239     0.93126000    -1.79163852     0.74471886     1.95479642
  1.9269     0.93302593    -1.79503704     0.63010056     1.83189636
  1.9299     0.93049481    -1.79091556     0.75146270     1.93268102
  1.9329     0.93157556    -1.79147111     0.79238953     2.07519196
  1.9359     0.93102963    -1.79143704     0.81727470     2.00891638
  1.9389     0.92656889    -1.78258963     0.90518532     2.02237074
  1.9420     0.92662000    -1.78328593     0.97079704     2.08684449
  1.9450     0.92612963    -1.78269333     1.02761722     2.22634236
  1.9480     0.92775333    -1.78148148     0.76944341     2.02678012
  1.9510     0.92870296    -1.78456444     0.83034966     2.08110719
  1.9540     0.92489852    -1.77576296     0.87248501     2.12298236
  1.9570     0.92257259    -1.77398667     1.15133711     2.19127862
  1.9601     0.92235630    -1.77255556     0.94900463     2.09780987
  1.9631     0.92281926    -1.77148000     0.90044293     2.05529436
  1.9661     0.92179481    -1.76927852     0.96788282     2.19044312
  1.9691     0.92169111    -1.76903704     1.00747267     2.37677766
  1.9721     0.92070370    -1.76548296     1.04307871     2.43797476
  1.9751     0.92083185    -1.76509037     1.05998795     2.36026077
  1.9781     0.92056741    -1.76435556     0.90166917     2.21358935
  1.9812     0.91623407    -1.75659704     1.07096354     2.21470772
  1.9842     0.91465111    -1.75355259     1.23570974     2.27702630
  1.9872     0.91323333    -1.75357630     1.27831449     2.35134574
  1.9902     0.91376296    -1.75183407     1.34707597     2.34108180
  1.9932     0.91666889    -1.75440889     0.93503768     2.17333585
  1.9962     0.91129704    -1.74690815     1.20298803     2.25885583
  1.9992     0.91238000    -1.74751111     1.18261464     2.41844862
  2.0023     0.91215333    -1.74577926     1.04337360     2.19648187
  2.0053     0.90960000    -1.74085926     1.23292417     2.41594561
  2.0083     0.90831037    -1.74058667     1.53422124     2.41694646
  2.0113     0.90742593    -1.73632444     1.14262652     2.33475966
  2.0143     0.90949852    -1.73966667     1.27308189     2.56763334
  2.0173     0.90908074    -1.73808148     1.16878644     2.46132152
  2.0204     0.90296370    -1.72982222     1.72038380     2.63733788
  2.0234     0.89930593    -1.72495407     2.14031862     2.89965493
  2.0264     0.90395111    -1.72897333     1.47080914     2.63465853
  2.0294     0.89940593    -1.71893926     1.61998968     2.72234725
  2.0324     0.90183259    -1.72543111     1.73490556     2.78636051
  2.0354     0.90249333    -1.72340444     1.52638206     2.76829424
  2.0384     0.89457185    -1.71301481     1.85672534     2.74391844
  2.0415     0.89088296    -1.70825037     2.38937888     2.86768243
  2.0445     0.89628519    -1.71425333     1.75007036     2.60629568
  2.0475     0.89097926    -1.70545185     2.26314384     2.84243432
  2.0505     0.89430963    -1.70865333     1.77126358     2.85438220
  2.0535     0.89659037    -1.70951556     1.46037117     2.64207517
  2.0565     0.87745185    -1.69389926     5.63427390     3.46749771
  2.0595     0.88923778    -1.69900593     2.18751384     2.93390113
  2.0626     0.88760667    -1.69371852     1.89851413     2.95526795
  2.0656     0.88342963    -1.68785630     2.16221375     2.96345628
  2.0686     0.88119704    -1.68913037     2.34630295     2.77719352
  2.0716     0.87881556    -1.68340593     2.72757163     3.17386671
  2.0746     0.88138963    -1.68280593     2.26005711     3.08750692
  2.0776     0.88219852    -1.68402667     1.84610494     2.75546937
  2.0807     0.88184889    -1.68160000     2.07037540     2.97671029
  2.0837     0.87440667    -1.67322519     2.74257229     3.16458032
  2.0867     0.87704519    -1.67199704     2.10832012     2.95289439
  2.0897     0.86975407    -1.66780444     2.74698404     2.94278036
  2.0927     0.86906815    -1.66485926     3.19622306     3.10042838
  2.0957     0.87762889    -1.67199407     1.71725271     2.64177213
  2.0987     0.87513630    -1.67044741     2.06397785     2.80799119
  2.1018     0.85945778    -1.65028148     4.27423698     3.95892776
  2.1048     0.86120963    -1.65354815     4.45462774     3.61418488
  2.1078     0.86193259    -1.64931852     2.74735214     3.04169387
  2.1108     0.86696519    -1.65634222     2.46421307     2.94006412
  2.1138     0.85657778    -1.64887407     5.25960985     3.40813676
  2.1168     0.85719630    -1.64751259     4.74078729     3.56672281
  2.1198     0.84930889    -1.63822519     4.94406237     3.49021495
  2.1229     0.85920889    -1.64119852     2.75998669     3.13205778
  2.1259     0.85547926    -1.63370222     2.69969842     3.23723586
  2.1289     0.85503852    -1.63607111     3.70571502     3.59092689
  2.1319     0.84153037    -1.62541926     6.23736767     3.68339625
  2.1349     0.83300519    -1.61887852     8.19576224     4.01478821
  2.1379     0.84470296    -1.62641630     5.73730182     3.89452532
  2.1410     0.83670444    -1.61336889     6.18772518     3.81441031
  2.1440     0.84440296    -1.61976296     3.96689023     3.63760137
  2.1470     0.83283185    -1.60917037     6.34751030     3.72303845
  2.1500     0.83723111    -1.60986074     4.42266570     3.59653176
  2.1500     0.84256822    -1.61450244    25.81449342    24.18337591
  2.1515     0.84209600    -1.61225267    25.61838147    23.75557343
  2.1530     0.83508933    -1.60644956    34.14125492    25.65766852
  2.1545     0.83385944    -1.60647556    34.93865812    24.88825975
  2.1560     0.83876322    -1.60938133    31.35159987    24.75445793
  2.1575     0.82769633    -1.60000022    43.39547974    25.74643559
  2.1590     0.83346511    -1.60203467    31.69610586    24.93264733
  2.1606     0.83447300    -1.60131733    30.19508761    24.69868486
  2.1621     0.83157222    -1.59880711    33.88174371    24.01822183
  2.1636     0.82609900    -1.59622267    52.80618386    26.57756717
  2.1651     0.82513033    -1.59338022    44.15279584    27.11980560
  2.1666     0.81003967    -1.58750667   104.65899117    30.67533731
  2.1681     0.82551378    -1.59239644    37.05432918    25.10003212
  2.1696     0.81450844    -1.58356356    67.08872864    28.85466012
  2.1711     0.82209300    -1.58520467    33.54629977    25.30527124
  2.1726     0.81178722    -1.57877422    54.28575222    28.23544760
  2.1741     0.82102889    -1.58465756    38.11500393    25.73616127
  2.1756     0.82052700    -1.58360800    40.19532125    26.35071745
  2.1771     0.81141700    -1.57678422    56.01198107    27.53006667
  2.1786     0.79749789    -1.56971933   124.59945554    31.73401505
  2.1802     0.80487844    -1.57060267    57.72169246    27.90648981
  2.1817     0.81398289    -1.57372778    42.86946740    27.99719916
  2.1832     0.81671067    -1.57507311    36.13269646    25.62236047
  2.1847     0.80788722    -1.56913444    51.30354694    28.71451869
  2.1862     0.80377511    -1.56769867    67.23795348    29.93696342
  2.1877     0.79419700    -1.55946089    93.38544738    30.70944457
  2.1892     0.80147189    -1.56443378    71.43571774    29.42586720
  2.1907     0.80440311    -1.56469667    55.37526671    27.15338691
  2.1922     0.80704789    -1.56110756    41.32766376    27.11423482
  2.1937     0.77801589    -1.54746422   118.91803936    31.95769849
  2.1952     0.79286800    -1.55162178    54.90839015    28.07689184
  2.1967     0.78823911    -1.55053178   103.27212212    31.48225045
  2.1982     0.76663956    -1.53638578   152.04276950    35.52418900
  2.1997     0.79145033    -1.54881556    63.83706103    29.70707860
  2.2013     0.75422700    -1.53338178   225.92109512    36.24582943
  2.2028     0.77588267    -1.54212867   133.05898213    33.11145080
  2.2043     0.79188311    -1.54613333    64.35909135    28.31433747
  2.2058     0.78506844    -1.54066911    79.39837067    30.16635686
  2.2073     0.77940933    -1.53556111    86.74520492    31.30342923
  2.2088     0.76252700    -1.53145356   166.32281505    33.82018001
  2.2103     0.77906256    -1.53514333    77.78523512    31.75022140
  2.2118     0.76798989    -1.52730200    97.58842388    31.56814383
  2.2133     0.76373756    -1.52413378   107.66997368    32.41323469
  2.2148     0.74549833    -1.52107600   254.15107444    36.70817300
  2.2163     0.75382078    -1.52029400   160.53815838    33.69298847
  2.2178     0.76619400    -1.52161800    86.90635436    31.79098760
  2.2193     0.77314700    -1.52427022    73.36877913    31.72750701
  2.2209     0.76381167    -1.51707378   105.12991387    34.58871497
  2.2224     0.73342156    -1.50666000   219.93884067    35.08819416
  2.2239     0.74828733    -1.50819978   128.66363677    33.12247990
  2.2254     0.76463067    -1.51503378    95.97387107    32.21162443
  2.2269     0.75113467    -1.50944689   124.90657372    33.92679288
  2.2284     0.72327378    -1.50060711   264.76114196    39.45456880
  2.2299     0.71145622    -1.48818400   223.61932182    37.24716124
  2.2314     0.75078533    -1.50615444   132.21421923    33.38809709
  2.2329     0.75629567    -1.50398644    85.29613683    32.37902424
  2.2344     0.73428744    -1.49363644   141.08529738    35.32073858
  2.2359     0.72548000    -1.48879133   145.09670401    36.18438491
  2.2374     0.69181522    -1.47469956   275.44390170    43.05749394
  2.2389     0.73474289    -1.49478044   156.13653871    34.86875441
  2.2405     0.68692044    -1.47003511   302.81330576    43.33118872
  2.2420     0.71066756    -1.48148733   228.24577739    37.94785935
  2.2435     0.72783256    -1.48569844   155.06245382    34.06906838
  2.2450     0.70310200    -1.47533222   249.55686267    36.26016952
  2.2465     0.68142889    -1.46342311   310.35245975    40.42121936
  2.2480     0.71910233    -1.47709578   165.91955857    36.04879570
  2.2495     0.71245167    -1.46909022   137.51941313    35.10609060
  2.2510     0.72777322    -1.47993156   144.38932197    35.01048578
  2.2525     0.73079856    -1.47866644   108.77647023    32.42868992
  2.2540     0.69544522    -1.46355978   244.44857476    38.53153607
  2.2555     0.66651111    -1.45048933   283.70845028    41.07668669
  2.2570     0.70946956    -1.46234844   154.38496562    36.81320478
  2.2585     0.66083567    -1.44355022   283.51538358    39.60957091
  2.2601     0.68766689    -1.45585333   245.50961574    39.25193959
  2.2616     0.71010333    -1.46500489   156.01325527    35.33112642
  2.2631     0.63858956    -1.43531667   384.09383935    43.20864759
  2.2646     0.69827856    -1.45396978   170.88096278    37.33434212
  2.2661     0.63447022    -1.43220422   365.59822768    42.28410327
  2.2676     0.65988989    -1.43710956   281.36891514    38.83750941
  2.2691     0.62268200    -1.42198844   345.24405766    41.02601568
  2.2706     0.64223133    -1.42781778   321.58778548    42.73919392
  2.2721     0.68296622    -1.44093044   196.60901472    35.39178896
  2.2736     0.64925211    -1.42998089   298.10322834    38.68030533
  2.2751     0.65006433    -1.42775378   296.77924281    40.79171030
  2.2766     0.64247578    -1.41917067   285.39533434    41.29880239
  2.2781     0.62597000    -1.41465622   337.21140736    42.30850541
  2.2796     0.62260900    -1.41026756   303.04562660    40.28801543
  2.2812     0.62648011    -1.40987711   314.26022299    41.57570276
  2.2827     0.62120578    -1.40971533   343.89760894    42.44792480
  2.2842     0.64354511    -1.41711733   253.96093693    39.00748608
  2.2857     0.58803589    -1.39479178   397.34218673    43.55767343
  2.2872     0.59290544    -1.39663400   398.85170928    43.64285042
  2.2887     0.61497722    -1.40376978   365.36266015    41.64135750
  2.2902     0.61145211    -1.39895444   310.52754270    38.17867919
  2.2917     0.62539556    -1.40088756   270.33751351    39.84471038
  2.2932     0.58348211    -1.38510000   372.88114850    43.56809597
  2.2947     0.58854944    -1.38748578   346.95374738    38.71506644
  2.2962     0.59089089    -1.38456444   353.76100286    41.03519205
  2.2977     0.59010167    -1.38628600   334.99876367    40.20780203
  2.2992     0.58835067    -1.38390356   360.88590169    40.44534937
  2.3008     0.59404678    -1.38519600   343.78329394    41.45122153
  2.3023     0.54820133    -1.36662133   403.66784591    43.38705712
  2.3038     0.54179456    -1.36236667   431.55546290    44.95956636
  2.3053     0.61783700    -1.38412044   230.06212887    37.58566276
  2.3068     0.57681689    -1.36885311   340.59184375    40.28934041
  2.3083     0.53723622    -1.35514022   414.53581976    40.87600260
  2.3098     0.53943289    -1.35674956   428.93209196    41.62914825
  2.3113     0.55634078    -1.35570556   328.56959451    39.28126113
  2.3128     0.51807656    -1.34503778   426.00126608    41.88261302
  2.3143     0.54766489    -1.35569267   396.70208857    41.34296492
  2.3158     0.53830444    -1.34649111   338.69882568    39.13837435
  2.3173     0.49997222    -1.33455733   431.76853783    39.94506044
  2.3188     0.49522589    -1.33606222   438.60834461    39.91225342
  2.3204     0.55387033    -1.34764933   326.15728982    37.02836529
  2.3219     0.55205067    -1.34889067   344.43783373    41.12677413
  2.3234     0.52625067    -1.33613333   354.39957791    36.31331098
  2.3249     0.52445456    -1.33833600   385.64019100    38.43630787
  2.3264     0.54711156    -1.34279956   354.35756802    39.55127286
  2.3279     0.52069767    -1.33602333   412.31004132    41.68178989
  2.3294     0.47299100    -1.32056378   483.86382807    40.61596904
  2.3309     0.48838422    -1.32149067   440.99298842    41.30060888
  2.3324     0.54422289    -1.34013311   392.09475693    40.75295556
  2.3339     0.48108622    -1.31635622   439.52368613    39.52527433
  2.3354     0.48370600    -1.30917000   378.60689583    37.35375941
  2.3369     0.48775444    -1.31253089   340.36677509    34.51800101
  2.3384     0.43784033    -1.29691289   432.38638683    36.92367179
  2.3399     0.49218644    -1.31259600   379.33672617    36.71149638
  2.3415     0.46880111    -1.30472889   429.31685257    37.85798354
  2.3430     0.48896611    -1.30674644   371.41277959    38.99995733
  2.3445     0.48538189    -1.30395444   344.92401733    36.31292903
  2.3460     0.44512900    -1.29417467   398.39975891    36.10207311
  2.3475     0.47453467    -1.29960089   389.32455402    37.46691140
  2.3490     0.45130178    -1.29202756   413.93779631    36.48864170
  2.3505     0.47216200    -1.29334956   363.55476158    35.68174250
  2.3520     0.41406822    -1.28074911   434.04677775    34.66690853
  2.3535     0.43461322    -1.28536533   405.08490760    36.75141370
  2.3550     0.44886811    -1.28552467   401.95155472    38.19957198
  2.3565     0.41071611    -1.27198467   381.75490901    34.99388238
  2.3580     0.41865356    -1.27461578   411.63722782    36.93437587
  2.3595     0.41257511    -1.26966133   357.66480429    33.29600533
  2.3611     0.40852922    -1.27140311   399.38908442    34.28930676
  2.3626     0.45620844    -1.27828600   340.99055080    33.73757910
  2.3641     0.40108611    -1.26590044   410.53961083    36.01497470
  2.3656     0.38345056    -1.25689667   401.37433352    34.02998616
  2.3671     0.39509411    -1.25902178   371.33863082    32.46409704
