# T        <M>         <E>           chi            C            frac_acept
  1.7000     0.96969867    -1.89754129     0.42481719     1.93003607     0.02917961
  1.7020     0.97012267    -1.89774663     0.37563553     1.89330359     0.02932253
  1.7040     0.96993156    -1.89810138     0.37476127     1.86668492     0.02949368
  1.7060     0.96869556    -1.89445511     0.43574680     1.94420511     0.03013180
  1.7080     0.96914444    -1.89527558     0.39825492     1.99165814     0.03001045
  1.7100     0.96940622    -1.89608709     0.39462380     1.91051924     0.03001556
  1.7120     0.96874356    -1.89395737     0.40048860     2.00572114     0.03054655
  1.7140     0.96834533    -1.89297062     0.41998073     2.03871229     0.03066969
  1.7160     0.96894844    -1.89454938     0.36969727     1.82429909     0.03044676
  1.7180     0.96789156    -1.89123461     0.42015588     2.03924008     0.03131115
  1.7200     0.96783156    -1.89073161     0.38909613     1.97710322     0.03151430
  1.7220     0.96759689    -1.89036271     0.43803049     2.07810955     0.03163166
  1.7240     0.96701022    -1.88931552     0.46331485     2.08595866     0.03179703
  1.7260     0.96696756    -1.88853420     0.43342242     2.12307583     0.03213687
  1.7280     0.96780489    -1.89102756     0.40916179     1.94845566     0.03148874
  1.7300     0.96592533    -1.88590310     0.46026349     2.14236317     0.03300171
  1.7320     0.96643733    -1.88717958     0.45214401     2.11820669     0.03248294
  1.7340     0.96644889    -1.88705066     0.43814702     1.99865647     0.03276166
  1.7360     0.96571378    -1.88509068     0.48140896     2.18372896     0.03338112
  1.7380     0.96549778    -1.88418397     0.45932449     2.11765889     0.03350759
  1.7400     0.96593867    -1.88524003     0.43358011     2.03866849     0.03311818
  1.7420     0.96465156    -1.88167023     0.42812371     1.99144975     0.03400636
  1.7440     0.96438000    -1.88152710     0.49600134     2.19042781     0.03453713
  1.7460     0.96435822    -1.88091107     0.53594212     2.22280184     0.03441266
  1.7480     0.96465644    -1.88179285     0.43932141     1.97035609     0.03443600
  1.7500     0.96299600    -1.87802217     0.56802836     2.22952861     0.03529261
  1.7520     0.96352267    -1.87870132     0.50354428     2.17065238     0.03520860
  1.7540     0.96302711    -1.87753425     0.53550995     2.24955489     0.03544709
  1.7560     0.96294667    -1.87713598     0.52071672     2.22515253     0.03577404
  1.7580     0.96314756    -1.87740529     0.50453232     2.20828610     0.03560846
  1.7600     0.96256000    -1.87557150     0.50381144     2.17401373     0.03603543
  1.7620     0.96254089    -1.87513515     0.48495619     2.13885563     0.03630482
  1.7640     0.96174578    -1.87407649     0.60745659     2.25872077     0.03663555
  1.7660     0.96110133    -1.87205687     0.54926442     2.27611787     0.03733080
  1.7680     0.96099155    -1.87146042     0.62181459     2.45776049     0.03737214
  1.7700     0.96220756    -1.87390938     0.49417929     2.15602663     0.03674713
  1.7720     0.96076800    -1.87106488     0.55188367     2.29049086     0.03750172
  1.7740     0.96085556    -1.87138139     0.62220158     2.44387172     0.03770132
  1.7760     0.96084756    -1.87064623     0.52102422     2.20486206     0.03784157
  1.7780     0.96061333    -1.86941510     0.51916985     2.18605280     0.03821787
  1.7800     0.95948044    -1.86729247     0.56910728     2.27892415     0.03880576
  1.7820     0.95865511    -1.86472179     0.61113959     2.35644556     0.03939455
  1.7840     0.95942133    -1.86647824     0.56859339     2.30166763     0.03906737
  1.7860     0.95866622    -1.86477330     0.57959086     2.34538246     0.03981085
  1.7880     0.95897422    -1.86504713     0.59272393     2.31404315     0.03962748
  1.7900     0.95828667    -1.86320353     0.62154317     2.51853832     0.04015247
  1.7920     0.95870089    -1.86385605     0.57733168     2.34790026     0.03997866
  1.7940     0.95789422    -1.86215017     0.61576728     2.34411284     0.04057612
  1.7960     0.95738089    -1.86121332     0.62902271     2.36940793     0.04066636
  1.7980     0.95713733    -1.86001595     0.60248447     2.37976400     0.04090062
  1.8000     0.95731689    -1.85961779     0.58556549     2.41417001     0.04102643
  1.8020     0.95612800    -1.85699820     0.62589961     2.43114452     0.04208242
  1.8040     0.95537822    -1.85525151     0.73957790     2.72572585     0.04262919
  1.8060     0.95337867    -1.85218485     0.93008479     2.61645912     0.04332800
  1.8080     0.95549467    -1.85542134     0.66271108     2.50145420     0.04239848
  1.8100     0.95496889    -1.85409505     0.68301915     2.48779184     0.04286857
  1.8120     0.95508844    -1.85487114     0.71818819     2.59466694     0.04290369
  1.8140     0.95393244    -1.85179738     0.72940551     2.60568437     0.04365584
  1.8160     0.95395200    -1.85063644     0.64857828     2.54139433     0.04412171
  1.8180     0.95508844    -1.85464714     0.69895164     2.50259449     0.04314374
  1.8200     0.95410178    -1.85062576     0.62186123     2.42846464     0.04394568
  1.8220     0.95329289    -1.84973243     0.68883246     2.51178050     0.04449890
  1.8240     0.95300889    -1.84839198     0.71927811     2.60070603     0.04481585
  1.8260     0.95373467    -1.84947561     0.70039544     2.68002062     0.04447712
  1.8280     0.95289200    -1.84732802     0.65028484     2.36147463     0.04521971
  1.8300     0.95190444    -1.84608266     0.76838079     2.63943790     0.04576249
  1.8320     0.95177378    -1.84495197     0.70827792     2.54361249     0.04580205
  1.8340     0.95103644    -1.84300091     0.78567718     2.73622075     0.04662621
  1.8360     0.95066044    -1.84223650     0.73404597     2.59191479     0.04684670
  1.8380     0.95058311    -1.84196539     0.76347230     2.59780619     0.04692961
  1.8400     0.94910000    -1.83867205     0.87482307     2.85822068     0.04792181
  1.8420     0.95061956    -1.84185773     0.77400330     2.68177063     0.04718855
  1.8440     0.94954267    -1.83897417     0.86617640     2.87095824     0.04776089
  1.8460     0.94823556    -1.83628980     0.87405582     2.83754865     0.04882510
  1.8480     0.94901200    -1.83755292     0.87348896     2.86490436     0.04839412
  1.8500     0.94614400    -1.83375914     1.79094190     3.16963579     0.04956213
  1.8520     0.94839645    -1.83515468     0.80686610     2.86245638     0.04919495
  1.8540     0.94800800    -1.83372354     0.75327794     2.75127801     0.04949123
  1.8560     0.94814356    -1.83409246     0.73437032     2.75502557     0.04935387
  1.8580     0.94718711    -1.83280975     0.80707914     2.74935215     0.04982152
  1.8600     0.94450889    -1.82822850     1.17451024     2.94115576     0.05134249
  1.8620     0.94656311    -1.83091379     0.79617082     2.66949789     0.05057767
  1.8640     0.94600044    -1.82998131     1.00806366     3.06420060     0.05080060
  1.8660     0.94603911    -1.82911109     0.88873652     2.84521691     0.05107199
  1.8680     0.94508578    -1.82715827     0.84124092     2.77709692     0.05158721
  1.8700     0.94585022    -1.82788174     0.79944184     2.77494194     0.05157854
  1.8720     0.94518444    -1.82701064     0.95262422     2.94713539     0.05183837
  1.8740     0.94390444    -1.82313687     0.88555536     2.96855055     0.05313263
  1.8760     0.94417378    -1.82433773     0.89804697     2.91740326     0.05284901
  1.8780     0.94100089    -1.81745870     1.02776497     3.07348980     0.05468227
  1.8800     0.94258933    -1.82023641     0.96107888     3.01548538     0.05390323
  1.8820     0.94133822    -1.81823377     1.09987437     3.04538453     0.05463382
  1.8840     0.94077911    -1.81673334     1.05856512     3.00681907     0.05504857
  1.8860     0.94102044    -1.81702672     0.99532543     2.97244728     0.05508724
  1.8880     0.93983333    -1.81422755     1.04912928     3.02063402     0.05568847
  1.8900     0.94020978    -1.81507017     1.04404826     3.10462428     0.05592141
  1.8920     0.94034622    -1.81474133     1.05310557     3.06670268     0.05576604
  1.8940     0.93897022    -1.81233246     1.09274286     3.03249448     0.05657309
  1.8960     0.94054578    -1.81454752     0.96614211     3.01946316     0.05605677
  1.8980     0.93870267    -1.81012441     1.06276026     3.04498263     0.05734302
  1.9000     0.93849822    -1.81012980     1.04863983     3.14212569     0.05729657
  1.9020     0.93656089    -1.80711737     1.28499349     3.27544310     0.05830855
  1.9040     0.93769200    -1.80692271     1.03200835     3.20285520     0.05818497
  1.9060     0.93774933    -1.80827728     1.12291496     3.20154249     0.05834923
  1.9080     0.93572267    -1.80351021     1.27902936     3.02740240     0.05945656
  1.9100     0.93504578    -1.80191560     1.19833647     3.13379958     0.05973906
  1.9120     0.93572667    -1.80323731     1.50241673     3.49694438     0.05954991
  1.9140     0.93674133    -1.80492360     1.06617906     3.11565989     0.05916339
  1.9160     0.93497956    -1.80010043     1.12632152     3.22144308     0.06055033
  1.9180     0.93332978    -1.79712273     1.29009439     3.49027836     0.06154586
  1.9200     0.93454933    -1.79953339     1.20311324     3.21804276     0.06096975
  1.9220     0.93329200    -1.79533506     1.13220388     3.26324784     0.06193283
  1.9240     0.93309422    -1.79567025     1.25226175     3.31325450     0.06190371
  1.9260     0.93262578    -1.79476266     1.22605221     3.31414878     0.06235492
  1.9280     0.93203289    -1.79297071     1.26076574     3.36141483     0.06279878
  1.9300     0.93296444    -1.79505869     1.17452578     3.24015912     0.06223934
  1.9320     0.93001333    -1.79032795     1.43834670     3.39216828     0.06401214
  1.9340     0.93056222    -1.78849954     1.23797652     3.37399947     0.06459581
  1.9360     0.92675511    -1.78585158     2.54769631     3.87711315     0.06542686
