# T        <M>         <E>           chi            C            frac_acept
  1.5500     0.98358500    -1.94126206     0.40944566     2.75823599     0.01635577
  1.5520     0.98337000    -1.94068406     0.42921952     2.88356298     0.01626225
  1.5540     0.98327600    -1.94020406     0.42012205     2.82542183     0.01665633
  1.5560     0.98272500    -1.93858404     0.44484915     2.91598099     0.01693439
  1.5580     0.98291100    -1.93901798     0.43786380     2.90986060     0.01698740
  1.5600     0.98239700    -1.93744802     0.44842104     2.95721386     0.01718644
  1.5620     0.98278000    -1.93892605     0.46050053     2.93607508     0.01711642
  1.5640     0.98242200    -1.93733395     0.44249230     2.97953134     0.01737047
  1.5660     0.98180300    -1.93563403     0.48357112     3.11174897     0.01781456
  1.5680     0.98246700    -1.93745202     0.43391619     2.89046215     0.01730846
  1.5700     0.98229000    -1.93686402     0.45934630     2.96177834     0.01767053
  1.5720     0.98171200    -1.93524596     0.49446609     3.13139162     0.01808112
  1.5740     0.98138100    -1.93441596     0.51931552     3.01217330     0.01820414
  1.5760     0.98181000    -1.93519800     0.46806281     3.13182812     0.01813963
  1.5780     0.98129500    -1.93370806     0.49109304     3.19412687     0.01848970
  1.5800     0.98113300    -1.93360995     0.53390837     3.19120838     0.01868824
  1.5820     0.98101200    -1.93292000     0.49856952     3.11713479     0.01868974
  1.5840     0.98060900    -1.93159200     0.51959290     3.21855813     0.01925685
  1.5860     0.98108900    -1.93279995     0.47553354     3.08100585     0.01877025
  1.5880     0.98097900    -1.93260398     0.51186733     3.24613953     0.01896829
  1.5900     0.98092300    -1.93225398     0.46340420     2.96071920     0.01917333
  1.5920     0.98093400    -1.93217197     0.45595688     2.92333752     0.01893879
  1.5940     0.98025000    -1.93032396     0.51424178     3.17481657     0.01951090
  1.5960     0.97958600    -1.92822405     0.55668588     3.41618820     0.02014453
  1.5980     0.97984800    -1.92885797     0.53007124     3.38067512     0.01969044
  1.6000     0.97926300    -1.92680404     0.51604640     3.26507789     0.02051760
  1.6020     0.97930900    -1.92729006     0.56514895     3.37324547     0.02015053
  1.6040     0.97956700    -1.92775602     0.50592257     3.14124230     0.02021404
  1.6060     0.97904900    -1.92721997     0.60460594     3.34598454     0.02064113
  1.6080     0.97974700    -1.92869404     0.56619216     3.47429838     0.02027255
  1.6100     0.97934600    -1.92688606     0.52265818     3.30077002     0.02047560
  1.6120     0.97910800    -1.92599806     0.51478759     3.30821377     0.02085617
  1.6140     0.97791400    -1.92345802     0.63218527     3.53526561     0.02144579
  1.6160     0.97810900    -1.92346806     0.59436116     3.41282683     0.02149030
  1.6180     0.97806400    -1.92307004     0.55357763     3.29891261     0.02166783
  1.6200     0.97837900    -1.92401005     0.55278756     3.32755899     0.02153831
  1.6220     0.97862600    -1.92445400     0.53596451     3.30232985     0.02123225
  1.6240     0.97684500    -1.91991606     0.70309925     3.86702699     0.02254301
