# T        <M>         <E>           chi            C            frac_acept
  1.6260     0.97791000    -1.92258798     0.56681659     3.44022568     0.02192088
  1.6280     0.97682100    -1.91959400     0.65663915     3.67230640     0.02268704
  1.6300     0.97706500    -1.91972405     0.60555290     3.57880256     0.02237297
  1.6320     0.97744500    -1.92059801     0.58687278     3.59801079     0.02247049
  1.6340     0.97681500    -1.91957198     0.65998745     3.69094274     0.02287758
  1.6360     0.97660100    -1.91780997     0.61152752     3.58881175     0.02302160
  1.6380     0.97580500    -1.91652602     0.70730557     3.67781142     0.02339968
  1.6400     0.97659500    -1.91882796     0.64275344     3.58680145     0.02302611
  1.6420     0.97610600    -1.91662005     0.63568363     3.63376899     0.02366723
  1.6440     0.97574500    -1.91550804     0.62825814     3.64026568     0.02391078
  1.6460     0.97515800    -1.91383399     0.67673019     3.69037852     0.02415283
  1.6480     0.97478800    -1.91295002     0.71851458     3.94775791     0.02461792
  1.6500     0.97478200    -1.91233596     0.66838357     3.73904540     0.02475095
  1.6520     0.97491600    -1.91283199     0.64947291     3.75813813     0.02459642
  1.6540     0.97473600    -1.91249996     0.67292869     3.71536464     0.02476695
  1.6560     0.97580500    -1.91554801     0.64640634     3.67121742     0.02424435
  1.6580     0.97387300    -1.91004006     0.72775368     3.89264166     0.02547409
  1.6600     0.97359600    -1.90933806     0.74779646     3.79641483     0.02559162
  1.6620     0.97542000    -1.91393201     0.61051196     3.60420284     0.02443739
  1.6640     0.97427400    -1.91160798     0.71108846     3.77723218     0.02512102
  1.6660     0.97364800    -1.90911397     0.72040843     3.82780946     0.02554211
  1.6680     0.97380300    -1.90976396     0.73288691     3.87419450     0.02583117
  1.6700     0.97314700    -1.90726406     0.70906809     3.85353386     0.02641428
  1.6720     0.97299200    -1.90656800     0.73342396     3.98418868     0.02644479
  1.6740     0.97108900    -1.90313204     0.98152563     4.34524928     0.02740748
  1.6760     0.97233100    -1.90545598     0.77163829     3.94178320     0.02676585
  1.6780     0.97231900    -1.90651606     1.02960764     4.09996902     0.02666083
  1.6800     0.97258400    -1.90549601     0.76578687     4.04274786     0.02691438
  1.6820     0.97177900    -1.90450196     1.01946709     4.20311651     0.02750750
  1.6840     0.97144300    -1.90236006     0.80726577     4.18960899     0.02772605
  1.6860     0.97123600    -1.90177796     0.81419691     4.27353121     0.02815013
  1.6880     0.97141500    -1.90219202     0.75581692     4.01961501     0.02791358
  1.6900     0.97077500    -1.90078799     0.86568899     4.27447796     0.02852420
  1.6920     0.96977600    -1.89851796     0.95941116     4.36046372     0.02905331
  1.6940     0.97112100    -1.90115805     0.80036179     4.21454623     0.02837367
  1.6960     0.97061900    -1.89966401     0.79789491     4.13828033     0.02879226
  1.6980     0.97066500    -1.89958994     0.82676358     4.23775172     0.02866623
  1.7000     0.97018200    -1.89815596     0.84018821     4.39492668     0.02928736
  1.7020     0.96972200    -1.89794204     0.92057982     4.39645549     0.02953341
  1.7040     0.96873000    -1.89557399     1.18147771     4.75149311     0.02973545
  1.7060     0.96974600    -1.89694800     0.80568713     4.11306766     0.02950690
  1.7080     0.96994600    -1.89782800     0.81218547     4.04864758     0.02967043
  1.7100     0.96895100    -1.89522198     0.96292527     4.51345462     0.03011452
  1.7120     0.96753800    -1.89049400     0.93154886     4.44480851     0.03096019
  1.7140     0.96847400    -1.89340006     0.82922450     4.00843174     0.03040508
  1.7160     0.96886700    -1.89426800     0.88771044     4.27786464     0.03064963
  1.7180     0.96826900    -1.89310404     0.97257117     4.33443335     0.03086467
  1.7200     0.96796500    -1.89131198     0.89751600     4.45735198     0.03148330
  1.7220     0.96755900    -1.89011806     0.92694642     4.48661601     0.03162833
  1.7240     0.96677100    -1.88811600     0.94650177     4.43287587     0.03216093
  1.7260     0.96765800    -1.89061598     0.97859959     4.46103428     0.03160882
  1.7280     0.96695400    -1.88817196     0.96579462     4.70548457     0.03212593
  1.7300     0.96703500    -1.88862999     0.92048397     4.32854622     0.03216443
  1.7320     0.96671000    -1.88806797     0.99501967     4.65291561     0.03225595
  1.7340     0.96629700    -1.88632797     0.93479703     4.42697835     0.03270404
  1.7360     0.96515300    -1.88510796     1.23662856     4.67464492     0.03334467
  1.7380     0.96569800    -1.88482206     0.98487124     4.65796533     0.03307912
  1.7400     0.96604800    -1.88535200     0.94309573     4.58321943     0.03322264
  1.7420     0.96478400    -1.88174394     1.01749202     4.62952881     0.03413883
  1.7440     0.96503900    -1.88254000     0.96341934     4.64566831     0.03389978
  1.7460     0.96380800    -1.88044201     1.15584145     4.88286749     0.03486997
  1.7480     0.96403900    -1.87963800     0.94521610     4.42550514     0.03450040
  1.7500     0.96433100    -1.88061203     1.02768387     4.68688895     0.03473945
  1.7520     0.96266800    -1.87688801     1.25730554     5.20408881     0.03586517
  1.7540     0.96360500    -1.87933795     1.12904266     4.71221590     0.03531106
  1.7560     0.96383500    -1.87925595     1.07705981     4.88719628     0.03508452
  1.7580     0.96183000    -1.87425401     1.37129550     5.15083996     0.03623625
  1.7600     0.96170000    -1.87329397     1.23155305     5.27786573     0.03697540
  1.7620     0.96261800    -1.87570397     1.13497742     4.95154866     0.03612973
  1.7640     0.96171000    -1.87272202     1.14559724     4.92629060     0.03657381
  1.7660     0.96083600    -1.87136398     1.23702848     5.16870214     0.03747399
  1.7680     0.96040900    -1.87021603     1.35108382     5.42876370     0.03777956
  1.7700     0.96156700    -1.87288600     1.23654528     5.04766099     0.03703541
  1.7720     0.96162600    -1.87318204     1.25712528     5.22313292     0.03689188
  1.7740     0.96059800    -1.87157800     1.52480429     5.41755545     0.03768354
  1.7760     0.96034200    -1.86910203     1.19991062     5.01241190     0.03820664
  1.7780     0.96103300    -1.87087402     1.26863922     5.42314727     0.03775405
  1.7800     0.95824200    -1.86391000     1.43528538     5.45566087     0.03952340
  1.7820     0.95879800    -1.86581598     1.45462640     5.61766743     0.03927235
  1.7840     0.95888700    -1.86531801     1.29781058     5.33299491     0.03946739
  1.7860     0.95858400    -1.86439998     1.32749090     5.51769433     0.03977596
  1.7880     0.95930500    -1.86571798     1.23931930     5.18762248     0.03952140
  1.7900     0.95843400    -1.86319006     1.25742359     5.24670920     0.04018154
  1.7920     0.95850200    -1.86343597     1.30055578     5.56308719     0.03992198
  1.7940     0.95823700    -1.86350200     1.31312996     5.26055680     0.03996849
  1.7960     0.95619300    -1.85887604     1.73523488     5.99772308     0.04125825
  1.7980     0.95766400    -1.86150796     1.35965200     5.28978840     0.04087668
  1.8000     0.95717100    -1.85986406     1.40642497     5.46507657     0.04127175
  1.8020     0.95665300    -1.85882001     1.46433992     5.60472244     0.04158632
  1.8040     0.95623100    -1.85766398     1.42434142     5.55009783     0.04170284
  1.8060     0.95566900    -1.85596800     1.46991581     5.62122227     0.04223245
  1.8080     0.95613000    -1.85607001     1.34762314     5.47635355     0.04231496
  1.8100     0.95589400    -1.85611000     1.39832036     5.43353342     0.04244349
  1.8120     0.95589400    -1.85574199     1.38758638     5.44902531     0.04257151
  1.8140     0.95364100    -1.85098401     1.68428967     5.85499135     0.04370524
  1.8160     0.95414800    -1.85262405     1.61071327     5.69367724     0.04376325
  1.8180     0.95296600    -1.84886805     1.60354625     5.93106720     0.04461742
  1.8200     0.95352700    -1.85055195     1.57101539     5.67468753     0.04408682
  1.8220     0.95345400    -1.85024595     1.52829646     5.44654634     0.04439238
  1.8240     0.95250600    -1.84790801     1.66774014     6.01264257     0.04507752
  1.8260     0.95175800    -1.84584598     1.88871123     6.17775497     0.04543259
  1.8280     0.95223600    -1.84577601     1.50927414     5.60193373     0.04560462
  1.8300     0.95048400    -1.84247801     1.75490208     5.78669787     0.04646479
  1.8320     0.95122400    -1.84385798     1.79714376     6.23875699     0.04614423
  1.8340     0.94885200    -1.83918802     1.76458970     5.78685036     0.04781156
  1.8360     0.95249400    -1.84711596     1.52100117     5.60082179     0.04572464
  1.8380     0.95027200    -1.84134001     1.81025316     6.07751462     0.04697690
  1.8400     0.95050300    -1.84099597     1.53996004     5.76315611     0.04743849
  1.8420     0.95040500    -1.84056197     1.61294728     6.03437428     0.04768554
  1.8440     0.94840400    -1.83701204     1.96770031     6.19255557     0.04861622
  1.8460     0.94812200    -1.83550797     1.86395099     6.33862349     0.04918084
  1.8480     0.94966200    -1.83921001     1.66360576     5.98027561     0.04812563
  1.8500     0.95036400    -1.83920005     1.55233064     5.85992992     0.04773905
  1.8520     0.94707400    -1.83310405     1.88749542     6.09399134     0.04963443
  1.8540     0.94592100    -1.83116405     2.11913123     6.45901185     0.05028506
  1.8560     0.94704200    -1.83158195     1.77699924     6.28481115     0.05037908
  1.8580     0.94712400    -1.83325001     1.96093733     6.26882577     0.04998050
  1.8600     0.94741000    -1.83225600     1.77323598     6.20974908     0.04986697
  1.8620     0.94621200    -1.83100000     2.36323043     6.88926241     0.05074115
  1.8640     0.94695300    -1.83148202     1.96718727     6.62729862     0.05056961
  1.8660     0.94526900    -1.82682994     1.85150265     6.28888876     0.05173285
  1.8680     0.94266100    -1.82504796     3.84293663     7.39025832     0.05232897
  1.8700     0.94516100    -1.82674802     2.05118304     6.61081095     0.05187988
  1.8720     0.94343800    -1.82227596     2.05423057     6.76273998     0.05336967
  1.8740     0.94321000    -1.82232997     2.08623861     6.84989034     0.05333717
  1.8760     0.94372600    -1.82459800     2.25142808     6.63630767     0.05312212
  1.8780     0.94138400    -1.81696404     1.97540705     6.47349860     0.05484447
  1.8800     0.94185400    -1.81866195     2.13059269     6.92729864     0.05450190
  1.8820     0.94209000    -1.81862596     2.21891308     6.68523524     0.05444989
  1.8840     0.94056400    -1.81523796     2.45989177     7.25769460     0.05524255
  1.8860     0.94017400    -1.81400003     2.21327316     6.71970932     0.05598070
  1.8880     0.94169800    -1.81770405     1.97257869     6.27017392     0.05483797
  1.8900     0.94179200    -1.81817194     2.30439918     6.98739754     0.05471894
  1.8920     0.94007000    -1.81305803     2.22646285     6.76046187     0.05628726
  1.8940     0.94146100    -1.81632201     1.97608272     6.51056450     0.05569964
  1.8960     0.94081000    -1.81589000     2.06545488     6.39538612     0.05572164
  1.8980     0.94059700    -1.81359400     2.11983528     6.76209179     0.05580466
  1.9000     0.93876600    -1.81020802     2.24815275     6.86640996     0.05756601
  1.9020     0.93809900    -1.80919199     2.40645168     7.08033746     0.05760502
  1.9040     0.93586700    -1.80328999     2.58004133     7.12866399     0.05900530
  1.9060     0.93654100    -1.80461804     2.27015566     6.65499472     0.05909532
  1.9080     0.93537500    -1.80245596     2.76458411     7.38840388     0.05978096
  1.9100     0.93535200    -1.80169202     2.70063443     7.56388339     0.06003001
  1.9120     0.93693200    -1.80354795     2.09978534     6.78789875     0.05939638
  1.9140     0.93558700    -1.80177801     2.42979726     7.15743979     0.05991998
  1.9160     0.93523000    -1.80051194     2.39188505     7.20168132     0.06033157
  1.9180     0.93638900    -1.80239005     2.34764267     7.12670522     0.05985997
  1.9200     0.93299800    -1.79595003     2.68535979     7.49175606     0.06194539
  1.9220     0.93647000    -1.80292198     2.27011854     6.88611732     0.05993949
  1.9240     0.93323500    -1.79618395     2.90299665     7.69881512     0.06214743
  1.9260     0.93369600    -1.79671595     2.44373776     6.95063992     0.06184787
  1.9280     0.93267200    -1.79329598     2.58264917     7.46587493     0.06257702
  1.9300     0.93410400    -1.79550800     2.44975710     7.34462128     0.06214543
  1.9320     0.92896600    -1.78763203     3.40063031     7.64209477     0.06454191
  1.9340     0.92962100    -1.78775206     2.97458995     7.49039244     0.06447840
  1.9360     0.92461100    -1.78261606     6.50585568     8.48455887     0.06654181
  1.9380     0.92885100    -1.78661598     3.14279759     7.35804478     0.06550460
  1.9400     0.92906100    -1.78584805     3.25132859     8.16211781     0.06552410
  1.9420     0.92757500    -1.78159400     2.98199262     8.19448216     0.06648080
  1.9440     0.92597100    -1.78028801     3.73722393     8.12093601     0.06694489
  1.9460     0.92563000    -1.78005405     3.92867112     8.34267311     0.06729346
  1.9480     0.92726100    -1.78214598     3.21807891     7.86882027     0.06697540
  1.9500     0.92100900    -1.77421603     5.21408583     8.59983303     0.06920434
  1.9520     0.92663500    -1.77924404     3.19613535     8.03769616     0.06742599
  1.9540     0.92520300    -1.77665203     3.24055011     7.95172931     0.06853121
  1.9560     0.92623800    -1.77890794     3.11418948     8.15525305     0.06799560
  1.9580     0.92166800    -1.76896397     3.86741718     8.73171294     0.07109972
  1.9600     0.92556000    -1.77787396     3.30437595     7.61775090     0.06825565
  1.9620     0.92688400    -1.77883804     2.67941068     7.55001497     0.06827365
  1.9640     0.92243600    -1.77136196     3.56870204     8.23555579     0.07050510
  1.9660     0.92262400    -1.77218800     3.68706631     8.14113450     0.07075665
  1.9680     0.92363300    -1.77115399     3.35165157     8.10599640     0.07044859
  1.9700     0.92146000    -1.76640000     3.40651456     8.18628469     0.07174435
  1.9720     0.92009100    -1.76316799     3.49475732     8.23111257     0.07288858
  1.9740     0.91794200    -1.76260804     4.63189017     8.40109290     0.07325715
  1.9760     0.92170500    -1.76605999     3.19380143     8.17803688     0.07180036
  1.9780     0.91658000    -1.75844596     4.31742941     8.56983169     0.07484047
  1.9800     0.91871900    -1.76123196     3.66185342     8.32449140     0.07416783
  1.9820     0.91771700    -1.75832203     3.68999836     8.31508617     0.07473995
  1.9840     0.91406600    -1.75156997     4.23158605     8.90216026     0.07689488
  1.9860     0.91527600    -1.75609196     4.88099555     9.21767246     0.07543809
  1.9880     0.91422200    -1.75054195     4.14379807     9.06373689     0.07739398
  1.9900     0.91487000    -1.75249596     4.16579040     8.65905055     0.07645329
  1.9920     0.91522800    -1.75434400     4.15489197     8.76119924     0.07616723
  1.9940     0.91404800    -1.75264796     4.93000695     8.73948027     0.07685237
  1.9960     0.91380800    -1.75073802     3.94462415     8.30704343     0.07753901
  1.9980     0.91313600    -1.74729996     3.76913570     8.13577434     0.07856121
  2.0000     0.91040700    -1.74452796     4.99164635     9.10354170     0.07966543
  2.0020     0.91345900    -1.74657605     3.88244534     8.74005742     0.07850520
  2.0040     0.91117700    -1.74502806     4.65222670     8.86239305     0.07939638
  2.0060     0.91182000    -1.74525404     4.29559361     8.81308422     0.07942689
  2.0080     0.90425800    -1.73736394     7.74009187    10.06525985     0.08246849
  2.0100     0.90959700    -1.74051402     5.15267840     9.14105171     0.08064363
  2.0120     0.90618300    -1.73556805     6.26190181     9.58922121     0.08198690
  2.0140     0.91178200    -1.74321802     3.89773675     8.36821223     0.07985097
  2.0160     0.90236900    -1.72905004     6.22153860     9.56252709     0.08453041
  2.0180     0.90548100    -1.73199600     4.73542058     9.28296430     0.08353221
  2.0200     0.90103400    -1.72640795     6.17066647     9.94623130     0.08532256
  2.0220     0.90607800    -1.73409599     5.40458675     9.50868019     0.08366473
  2.0240     0.90332400    -1.72820995     4.78042961     8.98302319     0.08494549
  2.0260     0.90704800    -1.73306601     4.12954154     8.69891736     0.08372324
  2.0280     0.89679300    -1.71823606     7.45992377    10.50258849     0.08857271
  2.0300     0.89774200    -1.72103002     8.64178053    10.77470289     0.08738448
  2.0320     0.90116800    -1.72138594     5.22221970     9.20326276     0.08723295
  2.0340     0.90203000    -1.72447794     5.54909147     9.81842580     0.08697690
  2.0360     0.90044000    -1.71972203     5.69857643     9.86865421     0.08774355
  2.0380     0.90166200    -1.72259597     5.19396716     9.22529952     0.08707792
  2.0400     0.89472200    -1.71341605     7.50783121    10.75543156     0.08995199
  2.0420     0.89999900    -1.71862595     4.84596149     9.42372690     0.08833567
  2.0440     0.89551400    -1.71118595     5.66932280     9.84359016     0.09096169
  2.0460     0.89357400    -1.70723797     7.11830125    10.72854556     0.09220444
  2.0480     0.88453500    -1.69972195    10.77917843    10.51686598     0.09471994
  2.0500     0.89249900    -1.70709396     8.79234319    11.90674131     0.09226295
  2.0520     0.89244100    -1.70441403     6.19128780    10.26491648     0.09336167
  2.0540     0.89342400    -1.70590598     6.31527482    10.77062949     0.09308162
  2.0560     0.88950300    -1.70022000     6.79846034    10.04657741     0.09522504
  2.0580     0.88873700    -1.69701598     6.48188344    10.89618407     0.09581116
  2.0600     0.88848300    -1.69886805     7.25514883    10.76112811     0.09514453
  2.0620     0.89292700    -1.70467400     5.84922390     9.64345507     0.09350670
  2.0640     0.88232500    -1.69142202    10.20182008    11.74466330     0.09823615
  2.0660     0.88340400    -1.69117595     9.49067475    10.81004267     0.09776955
  2.0680     0.88625200    -1.69042204     7.61683348    11.86649940     0.09807161
  2.0700     0.87654799    -1.68806594    18.67330743    12.26178045     0.09971594
  2.0720     0.88454300    -1.69426000    10.81631824    11.07983552     0.09744199
  2.0740     0.88281400    -1.68524606     7.21137763    10.49535641     0.09998050
  2.0760     0.88519300    -1.68877004     7.27319724    10.70931843     0.09935187
  2.0780     0.88418000    -1.68654997     6.51318281    10.03779769     0.09982947
  2.0800     0.88254400    -1.68311797     7.26125475    10.44904051     0.10076465
  2.0820     0.88942500    -1.69203996     6.22301257    10.64455715     0.09802610
  2.0840     0.87617000    -1.67790998    12.74492112    11.71986645     0.10297259
  2.0860     0.87399800    -1.66916198     7.94920669    11.13097332     0.10574215
  2.0880     0.86437500    -1.65995601    15.24017424    13.36409648     0.10854571
  2.0900     0.87089700    -1.66947196    11.24569422    11.60887906     0.10560962
  2.0920     0.87259100    -1.67352398    12.87396896    11.77640480     0.10527956
  2.0940     0.87783400    -1.67146196     7.40171486    10.79449178     0.10474345
  2.0960     0.87502100    -1.67221203    10.73615063    11.63943656     0.10513653
  2.0980     0.88199600    -1.67617595     6.01115408    10.18679779     0.10298060
  2.1000     0.85816900    -1.65189001    13.08312146    12.74087831     0.11185637
  2.1020     0.87289800    -1.66524800     8.56194390    11.64469781     0.10726195
  2.1040     0.87211000    -1.66413200     9.10723403    11.28256038     0.10771654
  2.1060     0.86373000    -1.65197000    11.95675204    12.65387377     0.11200190
  2.1080     0.86556600    -1.65898198    13.65379626    12.84222389     0.10972494
  2.1100     0.85095700    -1.64153003    19.38415773    14.62528109     0.11526705
  2.1120     0.86472000    -1.65533206    13.73231835    11.71657492     0.11115623
  2.1140     0.84639300    -1.63903203    21.09230712    13.83283284     0.11665233
  2.1160     0.87287000    -1.66113999     7.62946270    11.33662744     0.10893279
  2.1180     0.85614300    -1.64331205    12.25700325    12.01820011     0.11505001
  2.1200     0.85988700    -1.64512805    12.56438040    12.42018483     0.11435287
  2.1220     0.86862000    -1.65426203     9.75648779    12.36363352     0.11124875
  2.1240     0.85667100    -1.63510995    11.11618841    13.08641603     0.11735647
  2.1260     0.85386100    -1.63584396    12.74271146    13.11626496     0.11775855
  2.1280     0.83330997    -1.62268001    36.44479287    14.79876408     0.12243949
  2.1300     0.85839800    -1.63921403    10.75272156    12.73754436     0.11694589
  2.1320     0.85261900    -1.63599802    17.08752935    13.20986225     0.11781856
  2.1340     0.85802100    -1.63640595    10.35747971    12.61839261     0.11719244
  2.1360     0.83453800    -1.60974399    17.74684521    13.85612433     0.12631926
  2.1380     0.86071400    -1.63744998     8.59888986    11.71007967     0.11811962
  2.1400     0.81649800    -1.60730801    54.50119126    17.96764284     0.12795009
  2.1420     0.84020800    -1.61576395    21.10558912    15.15137216     0.12479346
  2.1440     0.84549300    -1.61480201    11.36172100    12.54497394     0.12496499
  2.1460     0.85029200    -1.62208798    11.35046293    13.15238985     0.12262352
  2.1480     0.82518300    -1.60400196    33.80189652    15.91894950     0.12915183
  2.1500     0.83769299    -1.61279998    20.08718510    14.12189320     0.12619624
  2.1520     0.83655975    -1.61118852    85.56552899    55.18658630     0.12686609
  2.1540     0.83697350    -1.60807403    71.50020921    56.16236676     0.12803378
  2.1560     0.82049450    -1.59725300   140.83340911    65.27691679     0.13184772
  2.1580     0.82540148    -1.59684202   107.65592045    61.46090957     0.13191435
  2.1600     0.81979975    -1.59269701   113.54086888    61.09708677     0.13337529
  2.1620     0.82697347    -1.59713695   106.88936090    59.64707801     0.13194110
  2.1640     0.82966573    -1.59604550    76.67136300    55.73217516     0.13212386
  2.1660     0.82646250    -1.59180296    84.89434848    59.30409588     0.13342017
  2.1680     0.81842849    -1.58763948    98.73579447    60.94309004     0.13555353
  2.1700     0.82096497    -1.59005195   109.84775637    58.92561134     0.13459698
  2.1720     0.80373772    -1.57321944   175.72022055    65.37643165     0.14000988
  2.1740     0.82178150    -1.58390344    74.56680049    56.54179045     0.13675109
  2.1760     0.81316274    -1.57857048   111.66140002    62.02006193     0.13852230
  2.1780     0.80776347    -1.57489301   150.91245596    64.42095242     0.14002763
  2.1800     0.81545249    -1.57930001   108.07927900    60.45689691     0.13849455
  2.1820     0.81508225    -1.57598446    98.24051354    59.57521557     0.13973686
  2.1840     0.80101300    -1.56928498   178.51655753    65.26027828     0.14207823
  2.1860     0.80323299    -1.56669055   139.24563658    64.70488287     0.14264888
  2.1880     0.80044500    -1.56228402   129.24806614    64.23082026     0.14427096
  2.1900     0.80804050    -1.56526645   101.91121360    61.51225396     0.14355543
  2.1920     0.80484250    -1.56263097    97.11831189    62.28740532     0.14451685
  2.1940     0.80784350    -1.56331999    93.73444153    61.88175350     0.14461311
  2.1960     0.79002423    -1.55101046   142.27792551    66.54442770     0.14887832
  2.1980     0.77851048    -1.54609804   223.85832735    71.81796199     0.15044365
  2.2000     0.78910849    -1.54699896   154.08968233    67.79691660     0.15011788
  2.2020     0.79020999    -1.54598800   136.77895624    65.88833883     0.15043627
  2.2040     0.76678550    -1.53395596   231.41371784    76.27319959     0.15504913
  2.2060     0.77681450    -1.54179604   235.10624742    72.53088804     0.15214348
  2.2080     0.76434050    -1.52629004   212.67999368    72.78659150     0.15766151
  2.2100     0.78041074    -1.53603196   146.90573553    68.10252036     0.15452948
  2.2120     0.77246649    -1.52613196   168.90042851    69.40593239     0.15784777
  2.2140     0.77569522    -1.53367849   198.64337283    74.33938105     0.15533639
  2.2160     0.77127799    -1.52237805   160.73126110    67.28555458     0.15910058
  2.2180     0.76384049    -1.51917804   186.91022332    69.88270908     0.16036502
  2.2200     0.76414672    -1.51813803   203.03260246    74.76245231     0.16071554
  2.2220     0.74911173    -1.51350046   287.74006722    77.46042958     0.16276351
  2.2240     0.77281925    -1.52479247   189.71719719    71.42390221     0.15846817
  2.2260     0.77142425    -1.51962203   150.13881696    69.75768153     0.16065078
  2.2280     0.75995147    -1.50750902   172.19147820    67.50369090     0.16450522
  2.2300     0.76628924    -1.51406555   161.90305762    68.83983982     0.16277226
  2.2320     0.73455424    -1.49622997   293.22804796    77.70717818     0.16902308
  2.2340     0.76600749    -1.50948801   142.22281604    68.04711071     0.16460611
  2.2360     0.72451373    -1.48780804   317.60005349    82.35726270     0.17246537
  2.2380     0.75239048    -1.49981154   198.91034165    71.74032399     0.16779689
  2.2400     0.75331174    -1.49826601   184.36348618    69.57830613     0.16838617
  2.2420     0.74262522    -1.49289398   233.58042098    77.13174795     0.17053865
  2.2440     0.73162923    -1.48301654   230.80933998    74.13339253     0.17429771
  2.2460     0.72056324    -1.47721905   281.34452713    77.40307108     0.17618956
  2.2480     0.72067123    -1.47308205   260.64031253    79.88453092     0.17776101
  2.2500     0.73934472    -1.48288652   190.57633522    72.89949676     0.17413021
  2.2520     0.69611723    -1.46149901   353.99873237    84.07221288     0.18182522
  2.2540     0.70930099    -1.46484798   304.93141461    81.26618780     0.18089329
  2.2560     0.70609824    -1.45925547   274.01284888    78.65558207     0.18298877
  2.2580     0.72546647    -1.46984696   241.95218397    81.34377723     0.17928821
  2.2600     0.73197499    -1.47364644   228.86069880    75.91270535     0.17762201
  2.2620     0.71575050    -1.45935405   248.23012968    76.77678610     0.18291102
  2.2640     0.70924424    -1.45750002   256.98187754    74.55332768     0.18381232
  2.2660     0.67599098    -1.44078951   384.80646993    86.85747049     0.18992500
  2.2680     0.69497048    -1.44461253   270.10902886    77.94754062     0.18861993
  2.2700     0.69116624    -1.44537747   330.19114086    78.96389997     0.18826854
  2.2720     0.69226450    -1.44280301   316.80436541    81.14399273     0.18931572
  2.2740     0.64947799    -1.41631104   411.42158473    89.10703463     0.19902770
  2.2760     0.66831999    -1.42666603   346.67074463    83.16022714     0.19497487
  2.2780     0.70518723    -1.44713199   257.76833028    74.01423431     0.18769938
  2.2800     0.68985974    -1.43599999   298.54769509    80.03027597     0.19215748
  2.2820     0.65102323    -1.41778345   411.78443921    85.65942859     0.19885832
  2.2840     0.66786398    -1.42221746   359.01250654    82.22385856     0.19676796
  2.2860     0.66936674    -1.41615899   308.28780751    82.40491026     0.19904020
  2.2880     0.64834623    -1.40817601   379.89988901    86.35734173     0.20214061
  2.2900     0.65056974    -1.40905750   405.66864189    88.38715750     0.20160245
  2.2920     0.63664373    -1.39452597   359.40854577    78.77387895     0.20699885
  2.2940     0.66413849    -1.41392206   348.24669201    82.56424723     0.20064116
  2.2960     0.62770974    -1.39265497   407.19861839    82.57786029     0.20814991
  2.2980     0.61616549    -1.38871248   459.33027154    89.54965461     0.21018751
  2.3000     0.64199998    -1.39526651   369.97713294    82.48668833     0.20713348
  2.3020     0.61662249    -1.38495852   447.91588470    89.73667077     0.21135632
