# T        <|M|>         <E>           chi            C
  2.1561     0.81086656    -1.59431756   135.81799559    29.99149672
  2.1591     0.83144500    -1.60054844    37.70671061    25.90252964
  2.1621     0.81984056    -1.59323978    63.78923647    27.33652013
  2.1652     0.82064633    -1.59155089    58.36142864    28.20285513
  2.1682     0.81568700    -1.58752711    65.35817817    28.31403254
  2.1712     0.81582711    -1.58479556    79.56108018    27.15039675
  2.1742     0.81944944    -1.58539156    47.79239562    26.93526147
  2.1773     0.80973933    -1.57447822    55.84419313    28.44307908
  2.1803     0.80361578    -1.57044844    92.53201360    29.07280942
  2.1833     0.81240300    -1.57225289    44.77779240    26.73486315
  2.1864     0.79777267    -1.56260889    70.71775246    29.56442798
  2.1894     0.79425178    -1.55970467    88.61547436    31.18109075
  2.1924     0.79538067    -1.55618778    71.66495047    29.85749754
  2.1955     0.78684989    -1.55157978    96.32944807    31.39492767
  2.1985     0.79896456    -1.55583556    57.37060414    29.34944476
  2.2015     0.78838356    -1.54853311    76.92941221    29.75436505
  2.2045     0.76966978    -1.53678978   144.36968114    34.03161994
  2.2076     0.76955700    -1.53012356    85.61090401    30.90574646
  2.2106     0.76167889    -1.52737578   150.12209428    36.06585454
  2.2136     0.77849467    -1.53306244    75.69646604    29.12432859
  2.2167     0.76389756    -1.52284822   102.50635747    33.01163501
  2.2197     0.76056322    -1.51963111   108.10506831    32.28245879
  2.2227     0.75029378    -1.51316667   156.88762163    34.32200161
  2.2258     0.75195689    -1.50959444   123.43507589    33.69508101
  2.2288     0.75411733    -1.50864822   125.60052280    33.36069266
  2.2318     0.72952944    -1.49766289   181.08529200    34.79391551
  2.2348     0.72455289    -1.49059489   181.33057771    37.12257604
  2.2379     0.75896744    -1.50331756    77.05594340    32.51188957
  2.2409     0.72751856    -1.48827222   157.30291164    34.74883319
  2.2439     0.72781056    -1.48451400   157.10446726    34.13970032
  2.2470     0.72234311    -1.47805578   135.57331082    34.76548635
  2.2500     0.70883778    -1.47132600   175.34578615    38.10409391
  2.2530     0.68937111    -1.45912289   212.94478792    37.77128700
  2.2561     0.68216156    -1.45112933   217.63840570    40.03388524
  2.2591     0.70346433    -1.46089089   168.27162790    36.38469991
  2.2621     0.65330367    -1.43921400   320.77308735    40.36542314
  2.2652     0.66474289    -1.44104222   267.07413381    40.81844385
  2.2682     0.68341900    -1.44436089   198.77275346    36.91087416
  2.2712     0.63000867    -1.42269067   337.09609922    40.97263366
  2.2742     0.64669722    -1.43109267   348.40720514    43.18508030
  2.2773     0.61173156    -1.41197578   381.20874893    41.60599550
  2.2803     0.67196056    -1.42930778   234.88191507    40.62399060
  2.2833     0.63457156    -1.40909822   262.71068678    38.35539797
  2.2864     0.62140478    -1.40687533   333.45064092    41.53415016
  2.2894     0.61043600    -1.40078600   328.85046836    43.26869089
  2.2924     0.58400744    -1.38404244   368.63826548    43.37935883
  2.2955     0.59824233    -1.38606244   340.47340411    40.44889384
  2.2985     0.56911267    -1.37814667   383.09931106    43.31946447
  2.3015     0.57519156    -1.37703600   365.09414316    39.79556978
  2.3045     0.56151156    -1.36253822   353.30792524    40.36425139
  2.3076     0.55233078    -1.36265044   389.79045618    41.39032949
  2.3106     0.54121844    -1.35609422   406.33825732    38.95058178
  2.3136     0.50985656    -1.34129844   419.61468845    42.37877023
  2.3167     0.52514011    -1.34428444   378.31521749    38.05822456
  2.3197     0.49906156    -1.33375511   454.09123163    40.17512447
  2.3227     0.51808589    -1.33569889   402.90417711    40.44124458
  2.3258     0.49265733    -1.32543822   413.54114850    40.03343164
  2.3288     0.46905578    -1.31379111   414.12433432    37.40549135
  2.3318     0.45344789    -1.31025333   433.20449983    37.64408744
  2.3348     0.48320778    -1.31434622   394.04589761    37.52574751
  2.3379     0.47386622    -1.30967867   415.17628397    39.46715585
  2.3409     0.47940100    -1.30589778   364.46104423    37.59281278
  2.3439     0.47498844    -1.30664689   387.78882438    38.40453663
  2.3470     0.41977844    -1.28321356   386.24764227    34.52526095
  2.3500     0.42807700    -1.28239133   402.17093578    36.21070061
  2.3530     0.43729456    -1.28371333   410.83488207    35.98079628
  2.3561     0.37470344    -1.26769511   434.58534310    36.22778150
  2.3591     0.43571789    -1.27505822   369.96996645    34.92188643
  2.3621     0.40723011    -1.27004267   417.42275786    35.38495211
  2.3652     0.41878344    -1.26985711   392.07476525    35.51595947
  2.3682     0.39477589    -1.25587000   390.55314019    35.01011083
  2.3712     0.37977544    -1.24932889   380.92264107    32.49691265
  2.3742     0.38712489    -1.24996489   361.07979143    32.00247562
  2.3773     0.36312722    -1.24086511   364.93515757    31.58063230
  2.3803     0.37526756    -1.24444933   387.26020356    33.25272764
  2.3833     0.36517933    -1.23886778   345.18053970    29.19458962
  2.3864     0.33770933    -1.22935444   365.49894080    29.93552705
  2.3894     0.33883178    -1.22507156   343.55540575    29.05438024
  2.3924     0.33824422    -1.22079711   327.62574959    28.86825395
  2.3955     0.36003111    -1.22563978   332.01163353    29.85163288
  2.3985     0.34425478    -1.21871867   328.75958877    29.66747333
  2.4015     0.35896089    -1.21757044   325.89450306    31.60616038
  2.4045     0.36228867    -1.21852222   304.37841493    28.77936157
  2.4076     0.29648722    -1.19723222   295.33243140    26.39549217
  2.4106     0.30845300    -1.19792133   299.46081898    26.62447390
  2.4136     0.30013567    -1.19291178   303.83972300    27.33775191
  2.4167     0.29228456    -1.18979778   289.85250215    25.74209413
  2.4197     0.30718533    -1.19016489   280.79872336    26.13662572
  2.4227     0.28247367    -1.18455489   289.17232941    24.72568322
